Compound	SMILES	Name	FingerprintNames	ECFP_4
CL21	CC1CC=2C=CC=CC2N1C(=O)CCl	2-chloro-1-(2-methyl-2,3-dihydro-1H-indol-1-yl)ethan-1-one	ECFP_4	0000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000100000000000000000001000000000000011001001000000010000000000000000001000000000000000000000000100010000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL22	COC=1C=CC(NC(=O)CCl)=CC1OC	2-chloro-N-(3,4-dimethoxyphenyl)acetamide	ECFP_4	0010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000100000000000000000000000000000100010001000000000000000000000000000000000000000000000010000000000000000000000000000100000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL23	ClCC(=O)NCC=1C=CC(Cl)=CC1	2-chloro-N-[(4-chlorophenyl)methyl]acetamide	ECFP_4	0010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000100000100000000000000000000000101000000000000000000000000001000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL24	CC=1C=CC=C(C)C1NC(=O)CCl	2-chloro-N-(2,6-dimethylphenyl)acetamide	ECFP_4	0010000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000100000000000000000000000000000000000100000100000000000000000000000000000000000000000000000001000000000000000000000000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL25	CC1=C(C)N(CC2=CC=CO2)C(NC(=O)CCl)=C1C#N	2-chloro-N-{3-cyano-1-[(furan-2-yl)methyl]-4,5-dimethyl-1H-pyrrol-2-yl}acetamide	ECFP_4	0010000000000000000001000000000010000000000100000000000000000000000000000000000000000000000100000000000000000000000000000000100000100010000000000000000000000000000000000000001000000000000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL26	ClCC(=O)NCCC=1C=CC=2OCCOC2C1	2-chloro-N-[2-(2,3-dihydro-1,4-benzodioxin-6-yl)ethyl]acetamide	ECFP_4	0100000000000000000000000001000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000010000100000000000000000000000001000000000000000000000000100000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL27	CN(C)S(=O)(=O)C=1C=CC=CC1CNC(=O)CCl	2-chloro-N-{[2-(dimethylsulfamoyl)phenyl]methyl}acetamide	ECFP_4	0010000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000010000010000001000000000000001000000000000000000000010001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL28	ClCC(=O)NC=1C=C(Cl)C=CC1N2C=NC=N2	2-chloro-N-[5-chloro-2-(1H-1,2,4-triazol-1-yl)phenyl]acetamide	ECFP_4	0010000000000000000000000000000000000000000000000000000000100000000000000000000000000000100000000000000000000000000000000001000001000000000000000000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL29	OC(=O)C1CC=2C=CC=CC2CN1C(=O)CCl	2-(2-chloroacetyl)-1,2,3,4-tetrahydroisoquinoline-3-carboxylic acid	ECFP_4	0100000000000000000010000000000000000000000000000000000000000000000000010000000000000000001000000000000000000000000000000011001010000000100000001000000000000000000000000000000000010001000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CL30	CC=1C=CC(=CC1)S(=O)(=O)NC(=O)CCl	2-chloro-N-(4-methylbenzenesulfonyl)acetamide	ECFP_4	0010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000100000100000000000000000000000000000000000000000000001000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
